ID,length,Wt,DL,Hg,SamInEve,SpC,Event,SpC_Count2,SpC_EVENT
6108,13.63,5,0,0.4,2,327,211,6007,327_211
6109,16.94,3,0,0.86,2,327,211,6007,327_211
6112,20.49,1,0,0.46,15,241,213,158,241_213
6113,19.9,1,0,0.56,15,241,213,158,241_213
6123,18.72,1,0,1.2,15,327,213,6007,327_213
6125,19.9,1,0,1.97,15,327,213,6007,327_213
6126,19.5,1,0,2.64,15,327,213,6007,327_213
6118,12.61,1,0,0.86,15,327,213,6007,327_213
6114,12.53,1,0,0.71,15,327,213,6007,327_213
6121,15.05,1,0,0.94,15,327,213,6007,327_213
6117,12.61,1,0,0.84,15,327,213,6007,327_213
6115,13,1,0,0.74,15,327,213,6007,327_213
6119,13.99,1,0,0.88,15,327,213,6007,327_213
6124,16.43,1,0,1.28,15,327,213,6007,327_213
6122,16.55,1,0,1.03,15,327,213,6007,327_213
6120,12.41,1,0,0.9,15,327,213,6007,327_213
6116,12.81,1,0,0.74,15,327,213,6007,327_213
6130,12.84,3,0,0.64,3,327,216,6007,327_216
6131,19.5,1,0,1.27,3,327,216,6007,327_216
6133,13.16,2,0,0.86,4,327,217,6007,327_217
6136,21.83,1,0,2.58,4,327,217,6007,327_217
6134,13.28,5,0,0.9,4,327,217,6007,327_217
6135,18.83,1,0,1.5,4,327,217,6007,327_217
6145,17.77,2,0,0.72,2,327,219,6007,327_219
6144,13.04,5,0,0.37,2,327,219,6007,327_219
6150,16.31,3,0,0.26,2,327,223,6007,327_223
6149,13.83,5,0,0.16,2,327,223,6007,327_223
6152,17.22,2,0,1.24,2,327,224,6007,327_224
6151,12.96,3,0,0.54,2,327,224,6007,327_224
6171,16.71,2,0,0.52,2,327,232,6007,327_232
6170,14.26,5,0,0.3,2,327,232,6007,327_232
6173,16.31,3,0,0.51,2,327,233,6007,327_233
6172,14.42,5,0,0.26,2,327,233,6007,327_233
6175,18.2,2,0,0.31,2,327,234,6007,327_234
6174,12.29,6,1,0.1,2,327,234,6007,327_234
6177,17.1,2,0,0.16,2,327,235,6007,327_235
6176,13.16,5,1,0.1,2,327,235,6007,327_235
6180,16.39,1,0,0.83,2,327,237,6007,327_237
6179,13.4,4,0,0.39,2,327,237,6007,327_237
6182,16.55,2,0,0.67,2,327,238,6007,327_238
6181,13.24,5,0,0.64,2,327,238,6007,327_238
6195,13,5,0,0.28,2,327,244,6007,327_244
6196,16.98,4,0,0.42,2,327,244,6007,327_244
6204,19.78,4,0,0.25,2,244,248,215,244_248
6205,26.08,3,0,0.68,2,244,248,215,244_248
6216,12.25,3,0,0.54,28,327,253,6007,327_253
6223,16.43,3,0,0.75,28,327,253,6007,327_253
6212,11.27,3,0,0.46,28,327,253,6007,327_253
6235,17.41,3,0,1.27,28,327,253,6007,327_253
6228,15.56,3,0,1.01,28,327,253,6007,327_253
6220,14.18,3,0,0.7,28,327,253,6007,327_253
6210,11.19,3,0,0.33,28,327,253,6007,327_253
6233,19.35,3,0,1.14,28,327,253,6007,327_253
6229,16.11,3,0,1.02,28,327,253,6007,327_253
6225,16.98,3,0,0.86,28,327,253,6007,327_253
6221,15.56,3,0,0.71,28,327,253,6007,327_253
6218,12.57,3,0,0.63,28,327,253,6007,327_253
6214,13.51,3,0,0.48,28,327,253,6007,327_253
6211,11.23,3,0,0.37,28,327,253,6007,327_253
6237,19.31,3,0,1.61,28,327,253,6007,327_253
6234,18.91,3,0,1.14,28,327,253,6007,327_253
6232,18.24,3,0,1.09,28,327,253,6007,327_253
6230,17.18,3,0,1.06,28,327,253,6007,327_253
6227,16.78,3,0,0.95,28,327,253,6007,327_253
6226,18.08,3,0,0.93,28,327,253,6007,327_253
6224,15.29,3,0,0.8,28,327,253,6007,327_253
6222,14.14,3,0,0.73,28,327,253,6007,327_253
6236,19.9,3,0,1.46,28,327,253,6007,327_253
6219,13.47,3,0,0.64,28,327,253,6007,327_253
6217,14.42,3,0,0.59,28,327,253,6007,327_253
6215,12.33,3,0,0.5,28,327,253,6007,327_253
6213,13.28,3,0,0.46,28,327,253,6007,327_253
6231,18.4,3,0,1.08,28,327,253,6007,327_253
6239,17.02,3,0,0.02,8,238,254,3254,238_254
6240,16.67,4,0,0.02,8,238,254,3254,238_254
6242,18.52,4,0,0.11,8,238,254,3254,238_254
6243,22.54,5,0,0.14,8,238,254,3254,238_254
6244,20.09,4,0,0.19,8,238,254,3254,238_254
6245,24.39,4,0,0.27,8,238,254,3254,238_254
6241,21.12,3,0,0.11,8,238,254,3254,238_254
6246,14.14,5,0,0.07,2,327,255,6007,327_255
6247,18.28,3,0,0.55,2,327,255,6007,327_255
6254,17.02,1,0,0.54,6,327,260,6007,327_260
6256,16.75,1,0,0.6,6,327,260,6007,327_260
6257,16.75,5,0,0.6,6,327,260,6007,327_260
6255,16.75,5,0,0.55,6,327,260,6007,327_260
6253,14.26,1,0,0.31,6,327,260,6007,327_260
6261,18.12,1,0,0.77,3,327,262,6007,327_262
6260,12.33,5,0,0.13,3,327,262,6007,327_262
6264,18.28,2,0,0.79,2,327,264,6007,327_264
6263,13.47,4,0,0.32,2,327,264,6007,327_264
6270,18.83,3,0,0.09,4,327,268,6007,327_268
6272,20.49,1,0,0.5,4,327,268,6007,327_268
6271,17.02,1,0,0.14,4,327,268,6007,327_268
6269,15.01,1,0,0.09,4,327,268,6007,327_268
6274,17.02,3,0,0.74,2,327,269,6007,327_269
6273,14.66,5,0,0.56,2,327,269,6007,327_269
6276,14.54,5,0,0.47,2,327,271,6007,327_271
6277,17.65,3,0,0.65,2,327,271,6007,327_271
6278,14.03,5,0,0.41,2,327,272,6007,327_272
6279,18.68,3,0,0.82,2,327,272,6007,327_272
6280,13.51,5,0,0.16,2,327,273,6007,327_273
6281,17.22,3,0,0.23,2,327,273,6007,327_273
6282,15.88,2,0,0.42,2,327,274,6007,327_274
6283,13.87,5,0,0.52,2,327,274,6007,327_274
6294,12.61,3,0,0.7,2,327,278,6007,327_278
6295,20.09,1,0,1.08,2,327,278,6007,327_278
6299,17.41,1,0,0.64,2,327,282,6007,327_282
6300,14.62,4,0,0.64,2,327,282,6007,327_282
6304,17.93,3,0,0.96,2,327,285,6007,327_285
6303,14.54,5,0,0.54,2,327,285,6007,327_285
6307,13.59,1,0,0.82,54,320,286,367,320_286
6311,13.95,1,0,1.03,54,320,286,367,320_286
6309,15.8,1,0,0.9,54,320,286,367,320_286
6305,10.8,1,0,0.63,54,320,286,367,320_286
6312,15.64,1,0,1.11,54,320,286,367,320_286
6310,12.06,1,0,0.99,54,320,286,367,320_286
6308,11.5,1,0,0.88,54,320,286,367,320_286
6306,14.18,1,0,0.74,54,320,286,367,320_286
6328,14.07,1,0,0.59,54,327,286,6007,327_286
6316,11.03,1,0,0.35,54,327,286,6007,327_286
6345,14.42,1,0,0.85,54,327,286,6007,327_286
6321,13.79,1,0,0.46,54,327,286,6007,327_286
6355,18.2,1,0,1.33,54,327,286,6007,327_286
6335,14.74,1,0,0.67,54,327,286,6007,327_286
6318,12.17,1,0,0.4,54,327,286,6007,327_286
6350,18.01,1,0,1.03,54,327,286,6007,327_286
6341,14.54,1,0,0.76,54,327,286,6007,327_286
6332,15.25,1,0,0.63,54,327,286,6007,327_286
6340,12.33,1,0,0.76,54,327,286,6007,327_286
6320,14.18,1,0,0.43,54,327,286,6007,327_286
6352,13.4,1,0,1.05,54,327,286,6007,327_286
6314,12.25,1,0,0.29,54,327,286,6007,327_286
6358,19.5,1,0,1.48,54,327,286,6007,327_286
6353,20.02,1,0,1.3,54,327,286,6007,327_286
6347,18.12,1,0,0.93,54,327,286,6007,327_286
6343,14.58,1,0,0.8,54,327,286,6007,327_286
6338,16.35,1,0,0.7,54,327,286,6007,327_286
6333,14.18,1,0,0.63,54,327,286,6007,327_286
6330,13.4,1,0,0.61,54,327,286,6007,327_286
6326,14.42,1,0,0.55,54,327,286,6007,327_286
6323,15.01,1,0,0.48,54,327,286,6007,327_286
6348,15.01,1,0,0.96,54,327,286,6007,327_286
6319,11.94,1,0,0.41,54,327,286,6007,327_286
6317,13,1,0,0.35,54,327,286,6007,327_286
6356,18.56,1,0,1.37,54,327,286,6007,327_286
6315,11.5,1,0,0.32,54,327,286,6007,327_286
6313,13.2,1,0,0.27,54,327,286,6007,327_286
6357,15.17,1,0,1.4,54,327,286,6007,327_286
6354,16.55,1,0,1.31,54,327,286,6007,327_286
6351,16.98,1,0,1.04,54,327,286,6007,327_286
6349,14.38,1,0,0.97,54,327,286,6007,327_286
6346,16.59,1,0,0.9,54,327,286,6007,327_286
6344,14.78,1,0,0.84,54,327,286,6007,327_286
6342,14.54,1,0,0.76,54,327,286,6007,327_286
6339,14.97,1,0,0.74,54,327,286,6007,327_286
6337,14.58,1,0,0.7,54,327,286,6007,327_286
6334,15.92,1,0,0.65,54,327,286,6007,327_286
6336,14.26,1,0,0.7,54,327,286,6007,327_286
6331,14.93,1,0,0.61,54,327,286,6007,327_286
6329,14.34,1,0,0.6,54,327,286,6007,327_286
6327,15.76,1,0,0.58,54,327,286,6007,327_286
6325,12.81,1,0,0.5,54,327,286,6007,327_286
6324,13.4,1,0,0.49,54,327,286,6007,327_286
6322,13.4,1,0,0.47,54,327,286,6007,327_286
6360,16.67,4,0,0.85,2,327,287,6007,327_287
6359,13.63,5,0,0.32,2,327,287,6007,327_287
6363,23.21,3,0,0.5,5,244,290,215,244_290
6364,25.85,3,0,0.66,5,244,290,215,244_290
6365,9.18,3,0,0.2,5,468,290,879,468_290
6366,14.07,3,0,0.83,5,468,290,879,468_290
6370,13.24,3,0,0.66,2,327,292,6007,327_292
6369,17.02,3,0,0.6,2,327,292,6007,327_292
6371,25.53,3,0,0.29,3,244,293,215,244_293
6372,23.05,3,0,0.39,3,244,293,215,244_293
6379,18.12,2,0,0.8,2,327,296,6007,327_296
6378,13.63,6,0,0.47,2,327,296,6007,327_296
6381,17.3,3,0,0.48,2,327,297,6007,327_297
6380,14.14,5,0,0.33,2,327,297,6007,327_297
6391,18.12,1,0,1.04,10,327,298,6007,327_298
6383,18.01,4,0,0.27,10,327,298,6007,327_298
6387,18.52,5,0,0.57,10,327,298,6007,327_298
6389,19.31,1,0,0.88,10,327,298,6007,327_298
6385,12.96,5,0,0.39,10,327,298,6007,327_298
6390,18.01,3,0,1.01,10,327,298,6007,327_298
6388,19.19,5,0,0.77,10,327,298,6007,327_298
6386,16.55,1,0,0.5,10,327,298,6007,327_298
6384,14.89,5,0,0.37,10,327,298,6007,327_298
6416,13.36,5,0,0.6,9,327,305,6007,327_305
6412,12.29,1,0,0.37,9,327,305,6007,327_305
