ID,Hg,DL
5752,0.025569,1
5753,0.131478,1
5755,0.049036,1
5757,0.3,0
5758,0.39,0
5759,0.14,0
5760,0.48,0
5762,0.81,0
5763,0.7,0
5764,0.2,0
5765,0.49,0
5766,0.031881,1
5768,0.059946,1
5769,0.035251,1
5771,0.15,0
5772,0.22,0
5773,0.16,0
5774,0.21,0
5775,0.056826,1
5779,0.77,0
5777,0.66,0
5778,0.71,0
5781,1.02,0
5780,0.99,0
5782,1.41,0
5783,0.32,0
5784,0.95,0
5785,1.47,0
5786,0.32,0
5788,0.209829,1
5791,0.7,0
5790,0.59,0
5792,0.17,0
5793,0.64,0
5794,0.039629,1
5795,0.038922,1
5797,0.064679,1
5798,0.17,0
5799,0.16,0
5800,0.169213,1
5801,0.45,0
5802,0.15,0
5803,0.66,0
5804,0.71,0
5806,0.642002,1
5807,0.56,0
5808,0.61,0
5809,0.22,0
5810,0.6,0
5811,0.07868,1
5814,0.18,0
5815,0.7,0
5816,0.049341,1
5818,0.056002,1
5820,0.050517,1
5822,0.050968,1
5824,0.29,0
5825,0.87,0
5826,0.58,0
5827,0.27,0
5828,0.67,0
5829,0.21,0
5830,0.027935,1
5832,0.065428,1
5834,0.33,0
5835,0.2,0
5836,0.35,0
5837,0.35,0
5839,0.259296,1
5842,0.441799,1
5846,0.080156,1
5848,0.21,0
5847,0.15,0
5849,0.18,0
5850,0.15,0
5851,0.11,0
5852,0.32,0
5853,0.2,0
5854,0.09718,1
5858,0.051096,1
5861,0.65647,1
5862,0.44,0
5863,0.72,0
5864,0.65,0
5865,0.27,0
5866,0.89,0
5867,0.89,0
5868,0.41,0
5870,0.094215,1
5869,0.129412,1
5871,0.29167,1
5872,0.230054,1
5874,0.134679,1
5875,0.12528,1
5876,0.326872,1
5878,0.7,0
5877,0.7,0
5879,0.045745,1
5881,0.030978,1
5883,0.053821,1
5886,0.12,0
5887,0.24,0
5888,0.050588,1
5890,0.052943,1
5892,0.18,0
5893,0.21,0
5894,0.17,0
5895,0.28,0
5896,0.16,0
5897,0.28,0
5898,0.039772,1
5899,0.046464,1
5900,0.048749,1
5901,0.049025,1
5902,0.19,0
5903,0.178705,1
5905,0.13,0
5904,0.11,0
5906,0.15,0
5908,0.18,0
5907,0.17,0
5910,0.15,0
5909,0.13,0
5911,0.16,0
5913,0.42,0
5912,0.42,0
5914,0.44,0
5915,0.49,0
5916,0.49,0
5917,0.57,0
5918,0.57,0
5919,1.13,0
5926,1.17,0
5920,0.886389,1
5921,0.886389,1
5922,0.67,0
5923,0.82,0
5925,1.17,0
5924,0.91,0
5927,0.25,0
5932,1.41,0
5929,0.74,0
5931,1.41,0
5930,0.8,0
5928,0.58,0
5933,0.44,0
5934,1.07,0
5935,0.040566,1
5937,0.042447,1
5938,0.1,0
5939,0.12,0
5940,0.061518,1
5941,0.031534,1
5942,0.036864,1
5945,0.040793,1
5946,0.175843,1
5947,0.065254,1
5948,0.052566,1
5949,0.067808,1
5951,0.408225,1
5952,0.080768,1
5954,0.28,0
5953,0.24,0
5955,0.16,0
5956,0.24,0
5957,0.7,0
5958,0.13,0
5959,0.046267,1
5961,0.034428,1
5963,0.061172,1
5967,0.08361,1
5969,0.13813,1
5971,0.063129,1
5973,0.029716,1
5975,0.074275,1
5976,0.10712,1
5977,0.268177,1
5978,0.240403,1
5981,1.018945,1
5982,0.11,0
5983,0.39,0
2430,0.36,0
2431,0.65,0
2432,0.36,0
2433,0.15,0
2434,0.92,0
2435,0.17,0
2436,0.35,0
2437,0.1,0
2438,0.42,0
2440,1.1,0
2439,1.1,0
2442,0.3,0
2441,0.07,0
2443,0.12,0
2444,0.13,0
2445,0.96,0
2446,0.1,0
2448,0.04,0
2449,0.05,0
2450,0.13,0
2452,0.13,0
2451,0.06,0
2453,0.29,0
2455,0.1204,0
2454,0.03146,0
2456,0.078,0
2457,0.48,0
2458,0.6,0
2459,0.075555,1
2460,0.075555,1
2461,0.08,0
2462,0.16,0
2463,0.09,0
2464,0.59,0
2465,0.02,0
2466,0.19,0
2467,0.08,0
2468,0.04,0
2469,0.16,0
2470,0.36,0
2471,0.04,0
2472,0.07,0
2473,0.55,0
2474,0.33,0
2475,0.07,0
2476,0.13,0
2477,0.04,0
2478,0.05,0
2479,0.05,0
2480,0.05,0
2481,0.07,0
2482,0.22,0
2484,0.06877,0
2483,0.0292,0
2485,0.23908,0
5242,0.18,0
5243,0.0964,0
5244,0.178,0
5245,0.401,0
5246,0.404,0
5247,0.186,0
5248,0.0114,0
5249,0.138,0
5250,0.128,0
5251,0.386,0
5984,0.22,0
5985,0.25,0
5987,0.37,0
5988,0.72,0
5989,1.29,0
5990,0.27,0
5991,0.78,0
5992,0.75,0
5993,0.8,0
5994,0.52,0
5995,0.62,0
5996,0.36,0
5997,0.36,0
5998,0.28,0
5999,0.5,0
6001,0.24,0
6002,0.18,0
6003,1.17,0
6004,0.61,0
6005,0.43,0
6006,1.71,0
6007,0.31,0
6008,0.48,0
6009,0.57,0
6010,0.14,0
6012,0.42,0
6013,0.45,0
6014,0.79,0
6015,0.39,0
6016,0.93,0
6017,0.22,0
6018,0.3,0
6019,1.07,0
6020,0.28,0
6022,0.6,0
6023,0.6,0
6024,0.62,0
6026,0.8,0
6025,0.65,0
6021,0.44,0
6027,0.19,0
6028,0.93,0
6029,0.7,0
6032,0.33,0
6031,0.18,0
6035,0.289658,1
6038,0.44,0
6039,0.53,0
6042,0.56,0
6041,0.21,0
6044,0.05327,1
6048,0.15,0
6049,0.19,0
6051,0.41,0
6052,0.48,0
6053,0.58,0
6054,0.87,0
6050,0.2,0
6055,0.22,0
6056,0.03,0
6057,0.09,0
6059,0.26,0
6060,0.66,0
6061,1.01,0
6058,0.24,0
6062,1.52,0
6063,0.44,0
6064,0.62,0
6065,1.34,0
6066,0.18,0
6067,1.39,0
6068,1.12,0
6069,0.44,0
6070,0.68,0
6071,0.43,0
6072,0.51,0
6076,1,0
6077,1.25,0
6078,0.69,0
6079,1.43,0
6080,2.43,0
6084,0.58,0
6083,0.35,0
6086,0.33,0
6087,0.49,0
6088,0.5,0
6089,0.52,0
6090,0.49,0
6091,0.46,0
6092,0.35,0
6093,1.3,0
6094,1.91,0
6096,0.94,0
6095,0.69,0
6098,0.74,0
6097,0.69,0
6099,1.03,0
6100,1.14,0
6101,0.331365,1
6104,0.88,0
6103,0.27,0
6107,0.76,0
6106,0.6,0
6108,0.4,0
6109,0.86,0
6110,0.31,0
6111,0.56,0
