ID,Hg_predicted_LOO
6356,1.033048
6315,0.49082
6313,0.613479
6357,0.743907
6354,0.857739
6351,0.89819
6349,0.687141
6346,0.867257
6344,0.720192
6342,0.702748
6339,0.736969
6337,0.706969
6334,0.816137
6336,0.682128
6331,0.73648
6329,0.690316
6327,0.804617
6325,0.577945
6324,0.621405
6322,0.621895
6360,0.440564
6359,0.617644
6363,0.660562
6364,0.735573
6365,0.304331
6366,0.45195
6367,0.308886
6370,0.402802
6369,0.982801
6371,0.176855
6372,0.121191
6373,0.134611
6374,0.335115
6375,0.200491
6376,0.591458
6379,0.739231
6378,0.508667
6381,0.454914
6380,0.348213
6382,0.193227
6391,0.5709
6383,0.645018
6387,0.61496
6389,0.641185
6385,0.339105
6390,0.546476
6388,0.628105
6386,0.509112
6384,0.439533
6393,1.692401
6394,3.200759
6395,0.468575
6396,1.824038
6397,0.434876
6398,2.431423
6399,0.819668
6400,0.66736
6401,1.906716
6402,0.494588
6403,0.784072
6404,1.74956
6405,0.481903
6406,1.703547
6407,0.402059
6408,0.539236
6410,0.653247
6411,1.253741
6416,0.542548
6412,0.494118
6418,0.90282
6414,0.482589
6419,1.045068
6417,0.491962
6415,0.570298
6413,0.436732
6420,0.241639
6421,0.46491
6422,0.587292
6423,0.347347
6424,0.433283
6425,0.370254
6426,0.571172
6427,0.095768
6429,0.335432
6430,0.500798
6431,0.428393
6432,0.903071
6443,1.444964
6436,0.933229
6440,1.110893
6446,1.783793
6441,1.313334
6438,1.047261
6434,0.936997
6445,2.187235
6442,1.130564
6444,1.279251
6439,0.921348
6437,0.956179
6435,0.838026
6433,1.122572
6447,0.992582
6448,0.24972
6450,0.728151
6451,2.459192
6452,0.832393
6453,0.934803
6454,0.196607
6455,2.803749
6456,0.276699
6460,0.56544
6461,1.023011
6465,0.403848
6469,1.156904
6471,1.004047
6467,1.101554
6470,0.910075
6468,0.911816
6466,1.008796
6478,0.847141
6483,1.036907
6475,0.871657
6481,0.996775
6480,1.237082
6474,0.876226
6485,1.351413
6482,1.165936
6479,1.051162
6477,1.100026
6476,1.111469
6484,1.242869
6473,0.981576
6472,0.820039
6486,0.432299
6487,0.56907
6489,0.701601
6490,1.938352
6491,1.702547
6492,0.737854
6493,0.294695
6494,0.318914
6495,0.317136
6496,0.323372
6497,0.368171
6498,0.360466
6499,0.328293
6500,0.288942
6501,0.350174
6502,0.34975
6503,0.434713
6504,0.442972
6505,0.363834
6506,0.350934
6517,0.519841
6508,0.352265
6513,0.51358
6510,0.448252
6511,0.493775
6512,0.453281
6514,0.433393
6515,0.449668
6516,0.527728
6509,0.404066
6518,0.773015
6519,0.933544
6520,0.550633
6521,0.727396
6524,0.913318
6525,0.736482
6526,0.890324
6527,1.030066
6528,0.833997
6529,1.159926
6531,1.461214
6532,1.409658
6533,1.159304
6535,1.53142
6534,0.955055
6530,1.127388
6550,1.720618
6551,1.450937
6552,1.486603
6553,1.814962
6554,1.515564
6555,1.72605
6556,1.462101
6557,1.765997
6561,2.619602
6558,1.525559
6559,1.884445
6560,1.731047
6549,1.231187
6545,1.109735
6536,1.266895
6537,1.103787
6541,1.204703
6538,1.484324
6539,1.716537
6540,1.181886
6542,1.614593
6543,1.407386
6544,1.522481
6546,1.296481
6547,1.099925
6548,1.279859
6564,0.645236
6565,1.330852
6570,0.272167
6571,0.696855
6573,0.289411
6574,0.41772
6576,0.12224
6577,0.153281
6578,0.112413
6582,0.534803
6583,0.798381
6585,1.998366
6586,0.96655
6587,1.037732
6588,0.468956
6589,0.473966
6590,2.062921
6591,1.168622
6592,0.847165
6594,0.563656
6595,0.341068
6596,0.222461
6597,0.793698
6598,0.412085
6599,0.333051
6600,1.240614
6601,0.873384
6602,0.331291
6603,0.376698
6604,0.981333
6605,0.763468
6606,0.379233
6607,1.440775
6608,1.000929
6609,0.524848
6610,0.402095
6611,1.244331
6612,1.137204
6613,0.727058
6614,0.853929
6615,0.528128
6616,1.651665
6617,0.354447
6618,0.876618
6619,0.40787
6620,0.416872
6623,1.191777
6624,1.44498
6625,0.31274
6626,1.412022
6627,0.337265
6628,0.389947
6629,0.409791
6630,0.517886
6631,0.446615
6632,0.775724
6633,0.729043
6646,1.334409
6645,1.116619
6641,0.99652
6634,0.677615
6643,1.345462
6639,1.110625
6636,0.685335
6647,1.252865
6644,1.102292
6642,1.040733
6640,0.869974
6638,0.991096
6637,0.902877
6635,0.767441
6648,0.650056
6649,0.501734
6650,0.485313
6651,0.496923
6652,0.558166
6653,0.746376
6675,0.685194
6693,1.139551
6694,0.945727
6654,0.493381
6683,0.719617
6668,0.627114
6658,0.566505
6688,0.650041
6679,0.769846
6671,0.568877
6665,0.616971
6660,0.551479
6656,0.746203
6696,1.252103
6691,1.091482
6686,0.875487
6681,0.921143
6677,0.547439
6673,0.610018
6685,0.6236
6666,0.616746
6663,0.609985
6662,0.612506
6661,0.537709
6659,0.48732
6657,0.502699
6655,0.511782
6697,1.158141
6695,1.128345
6692,0.986924
6690,0.875024
6687,1.178101
6684,0.735771
6682,0.645488
6680,0.502847
6678,0.719442
6676,0.779513
6674,0.651242
6672,0.623295
6670,0.729499
6669,0.55128
6667,0.627326
6689,0.987023
6664,0.625871
6698,0.242301
6699,0.69058
6701,1.846074
6702,0.308568
6703,0.826078
6704,2.068977
6705,0.415993
6706,2.285895
6707,0.583941
6710,0.520185
6711,0.709518
6712,0.311238
6713,1.318864
6715,0.577623
6714,3.631606
6721,0.302581
6720,0.2645
6723,0.805226
6722,0.167738
6724,0.438011
6725,0.237402
6727,0.229171
6728,0.236722
6730,0.546977
6729,0.649384
6731,0.238525
6732,0.515532
6735,0.577901
6736,0.421751
6752,0.791925
6753,2.723192
6754,1.234464
2486,0.081474
2487,0.095423
2488,0.217911
2489,0.133529
2490,0.088177
2491,0.106085
2492,0.227026
2493,0.084227
2494,0.077565
2495,0.126505
2496,0.09648
2497,0.179516
2498,0.163365
2499,0.116549
2500,0.080955
2501,0.141524
2502,0.141182
2503,0.068568
2504,0.05105
2505,0.036993
2506,0.030481
2507,0.127473
2508,0.058642
2509,0.058493
2510,0.250652
2511,0.035554
2512,0.040079
2513,0.100719
2515,0.031097
2514,0.032859
2516,0.048013
24922,0.059478
24923,0.054602
24924,0.145873
24925,0.154468
2517,0.23486
2518,0.209691
2519,0.155922
2520,0.18579
2521,0.208061
2522,0.241181
2523,0.158245
2524,0.109443
2525,0.117424
2526,0.148483
2527,0.143298
2528,0.143888
2529,0.124594
2530,0.148524
2531,0.175424
2532,0.174602
2533,0.143648
2534,0.15756
2535,0.158101
2536,0.130546
2538,0.1195
2537,0.126064
2539,0.360556
2541,0.139282
2540,0.140722
2542,0.179001
2543,0.1975
2544,0.214338
2546,0.185341
2545,0.211096
2547,0.585725
24927,0.177198
24926,0.165819
24929,0.269066
24928,0.249606
5252,0.086552
5253,0.275248
