ID,measured,LOO_modeled,sigma,DL
5911,0.16,0.078596,0.419146,0
5913,0.42,0.325228,0.419149,0
5912,0.42,0.325228,0.419149,0
5914,0.44,0.219629,0.419145,0
5915,0.49,0.303565,0.419147,0
5916,0.49,0.303565,0.419147,0
5917,0.57,0.277268,0.419145,0
5918,0.57,0.316487,0.419146,0
5919,1.13,0.871283,0.419149,0
5926,1.17,0.873359,0.419149,0
5920,0.1,0.88639,0.419107,1
5921,0.1,0.88639,0.419107,1
5922,0.67,0.854249,0.419149,0
5923,0.82,0.65925,0.419149,0
5925,1.17,0.689947,0.419147,0
5924,0.91,0.91813,0.419149,0
5927,0.25,0.314037,0.419149,0
5932,1.41,0.878397,0.419147,0
5929,0.74,0.81437,0.419149,0
5931,1.41,0.878397,0.419147,0
5930,0.8,1.400275,0.419147,0
5928,0.58,0.932838,0.419147,0
5933,0.44,0.885427,0.419145,0
5934,1.07,0.352046,0.41914,0
5935,0.1,0.043624,0.419148,1
5937,0.1,0.046876,0.419148,1
5938,0.1,0.021828,0.419131,0
5939,0.12,0.275541,0.41914,0
5940,0.1,0.099443,0.419148,1
5941,0.1,0.031973,0.419148,1
5942,0.1,0.038317,0.419148,1
5945,0.1,0.043991,0.419148,1
5946,0.1,0.199342,0.419134,1
5947,0.1,0.105102,0.419146,1
5948,0.1,0.079878,0.419148,1
5949,0.1,0.108575,0.419147,1
5951,0.1,0.408953,0.41911,1
5952,0.1,0.123353,0.419147,1
5954,0.28,0.169912,0.41915,0
5953,0.24,0.241483,0.419149,0
5955,0.16,0.079239,0.419147,0
5956,0.24,1.103903,0.419151,0
5957,0.7,0.621192,0.419149,0
5958,0.13,0.210039,0.419147,0
5959,0.1,0.05594,0.419148,1
5961,0.1,0.03529,0.419148,1
5963,0.1,0.098874,0.419148,1
5967,0.1,0.126187,0.419146,1
5969,0.1,0.170954,0.419142,1
5971,0.1,0.101982,0.419147,1
5973,0.1,0.029992,0.419148,1
5975,0.5,0.074276,0.419148,1
5976,0.5,0.107184,0.419148,1
5977,0.5,0.410691,0.419147,1
5978,0.5,0.305269,0.419148,1
5981,0.1,1.018945,0.41908,1
5982,0.11,0.127128,0.419151,0
5983,0.39,0.337733,0.419152,0
2430,0.36,0.553621,0.419148,0
2431,0.65,1.245152,0.419147,0
2432,0.36,0.117645,0.419143,0
2433,0.15,0.502729,0.41914,0
2434,0.92,0.816721,0.419149,0
2435,0.17,0.161196,0.419149,0
2436,0.35,0.124073,0.419143,0
2437,0.1,0.417933,0.419135,0
2438,0.42,0.307027,0.419148,0
2440,1.1,0.798419,0.419148,0
2439,1.1,0.714194,0.419148,0
2442,0.3,0.100637,0.419142,0
2441,0.07,0.144638,0.419145,0
2443,0.12,0.255776,0.419146,0
2444,0.13,0.223368,0.419147,0
2445,0.96,0.276551,0.419138,0
2446,0.1,0.094904,0.419149,0
2448,0.04,0.061909,0.419148,0
2449,0.05,0.048766,0.419149,0
2450,0.13,0.085521,0.419148,0
2452,0.13,0.102844,0.419149,0
2451,0.06,0.093542,0.419148,0
2453,0.29,0.235728,0.419149,0
2455,0.1204,0.038188,0.419142,0
2454,0.03146,0.082992,0.419144,0
2456,0.078,0.093704,0.419149,0
2457,0.48,0.091174,0.419135,0
2458,0.6,0.570457,0.419149,0
2459,0.05,0.090557,0.419143,1
2460,0.05,0.090557,0.419143,1
2461,0.08,0.125472,0.419148,0
2462,0.16,0.099778,0.419147,0
2463,0.09,0.425494,0.419132,0
2464,0.59,0.301074,0.419146,0
2465,0.02,0.054311,0.419142,0
2466,0.19,0.029426,0.419127,0
2467,0.08,0.079869,0.419149,0
2468,0.04,0.080197,0.419146,0
2469,0.16,0.237388,0.419148,0
2470,0.36,0.169574,0.419145,0
2471,0.04,0.02829,0.419149,0
2472,0.07,0.197821,0.419144,0
2473,0.55,0.195765,0.419144,0
2474,0.33,0.391731,0.419149,0
2475,0.07,0.099362,0.419148,0
2476,0.13,0.077491,0.419148,0
2477,0.04,0.034842,0.419149,0
2478,0.05,0.034606,0.419148,0
2479,0.05,0.083744,0.419148,0
2480,0.05,0.053799,0.419149,0
2481,0.07,0.077168,0.419149,0
2482,0.22,0.185741,0.419149,0
2484,0.06877,0.042959,0.419148,0
2483,0.0292,0.076844,0.419144,0
2485,0.23908,0.146643,0.419148,0
5242,0.18,0.26223,0.41915,0
5243,0.0964,0.065973,0.41915,0
5244,0.178,0.09342,0.419148,0
5245,0.401,0.761102,0.419147,0
5246,0.404,0.534941,0.419151,0
5247,0.186,0.140312,0.419151,0
5248,0.0114,0.061505,0.419121,0
5249,0.138,0.026575,0.419121,0
5250,0.128,0.137593,0.419152,0
5251,0.386,0.359212,0.419152,0
5984,0.22,0.41449,0.419147,0
5985,0.25,0.132507,0.419148,0
5987,0.37,0.385783,0.41915,0
5988,0.72,2.348929,0.419139,0
5989,1.29,0.586557,0.419144,0
5990,0.27,0.206876,0.419151,0
5991,0.78,1.017161,0.419151,0
5992,0.75,0.948874,0.41915,0
5993,0.8,0.632296,0.41915,0
5994,0.52,0.890976,0.419148,0
5995,0.62,0.361724,0.419148,0
5996,0.36,0.517575,0.419148,0
5997,0.36,0.250306,0.41915,0
5998,0.28,0.300293,0.419151,0
5999,0.5,0.466255,0.419151,0
6001,0.24,0.184187,0.41915,0
6002,0.18,0.234552,0.41915,0
6003,1.17,1.257402,0.419149,0
6004,0.61,0.285185,0.419143,0
6005,0.43,0.310784,0.419149,0
6006,1.71,1.515754,0.419151,0
6007,0.31,0.749015,0.419139,0
6008,0.48,0.262501,0.419146,0
6009,0.57,0.340182,0.419147,0
6010,0.14,0.387319,0.419137,0
6012,0.42,0.259934,0.41915,0
6013,0.45,0.72666,0.419148,0
6014,0.79,1.011072,0.41915,0
6015,0.39,0.304592,0.41915,0
6016,0.93,0.716496,0.41915,0
6017,0.22,0.285763,0.41915,0
6018,0.3,0.518756,0.419148,0
6019,1.07,0.619235,0.419148,0
6020,0.28,0.557421,0.419145,0
6022,0.6,0.474598,0.419151,0
6023,0.6,0.524256,0.419151,0
6024,0.62,0.448457,0.419148,0
6026,0.8,0.796349,0.419149,0
6025,0.65,0.451913,0.419148,0
6021,0.44,0.46708,0.419149,0
6027,0.19,0.268564,0.419149,0
6028,0.93,0.151616,0.419116,0
6029,0.7,4.275282,0.419116,0
6032,0.33,0.284412,0.419151,0
6031,0.18,0.208911,0.419151,0
6035,0.1,0.294851,0.419133,1
6038,0.44,0.214978,0.419146,0
6039,0.53,1.083237,0.419146,0
6042,0.56,0.304575,0.419147,0
6041,0.21,0.386372,0.419148,0
6044,0.1,0.082009,0.419148,1
6048,0.15,0.380792,0.419142,0
